pybullet build time: Mar 15 2019 21:18:42
startThreads creating 1 threads.
starting thread 0
started thread 0 
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA Tegra Xavier (nvgpu)/integrated
GL_VERSION=3.3.0 NVIDIA 31.1.0
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 31.1.0
Vendor = NVIDIA Corporation
Renderer = NVIDIA Tegra Xavier (nvgpu)/integrated
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0 
MotionThreadFunc thread started
ven = NVIDIA Corporation
('OBC_IP=', '169.254.98.2')
('OBC_PORT=', 15000)
('RX bind to port succeeded.', ('169.254.98.2', 15000))
TX bind to eth0 succeeded.
Starting ethernet RX and TX.
0,1980647,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
1,1980649,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
2,1980652,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
3,1980654,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
4,1980656,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
5,1980659,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
6,1980661,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790088812457,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
7,1980662,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
8,1980665,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
9,1980667,-0.719765488301,-0.00752956071963,-0.713216606771,0.0625357627869,0.920835018158,-0.00955611864199,0.858003377914,-0.0790599028217,-0.00388461748232,0.213920116425,0.0655086040497,-0.152964893972
